Year, Book Count
1518, 1
1559, 1
1564, 1
1600, 2
1631, 1
1672, 2
1687, 1
1730, 1
1746, 4
1789, 4
1800, 9
1818, 1
1826, 1
1830, 1
1845, 1
1848, 2
1850, 1
1854, 5
1855, 1
1858, 2
1860, 1
1864, 1
1877, 1
1881, 1
1883, 1
1884, 1
1886, 1
1889, 1
1890, 1
1893, 1
1894, 1
1895, 2
1897, 2
1898, 1
1899, 3
1900, 9
1903, 17
1905, 2
1907, 1
1911, 5
1913, 3
1914, 33
1915, 1
1924, 1
1925, 1
1926, 1
1928, 1
1929, 2
1935, 1
1938, 1
1943, 1
1945, 2
1947, 1
1950, 2
1951, 2
1954, 1
1955, 15
1956, 4
1959, 1
1962, 2
1965, 1
1969, 2
1972, 1
1975, 1
1977, 1
1979, 1
1985, 2
1987, 1
1988, 1
1997, 1
1998, 1
2007, 1
2009, 1
2019, 1
